	ID	Strain	Age	Weight	Clutch	shh_R2_spot	shh_M1_spot	shh_M2_spot	cap_transition	M1_spot_split_LR	shboob	Total_state	stateord	Symmetry	groupwt
212	shh_13.5_17_154-165_DB	DUHi	13.5	159.5	DB	2	0	0	0	0	1	2_0_0_1	145_2_0_0_1	-	145
213	shh_14.5_24_178_DI	DUHi	14.5	178	DI	1	0	0	0	0	1	1_0_0_1	179_1_0_0_1	-	179
214	shh_14.0_27_237_DG	DUHi	14.0	237	DG	1	1	0	1	0	1	1_1_1_1	202_1_1_1_1	y	202
215	shh_14.5_25_236_DAF	DUHi	14.5	236	DAF	1	1	0	1	0	1	1_1_1_1	202_1_1_1_1	-	202
216	shh_14.5_28_223_DAF	DUHi	14.5	223	DAF	1	1	0	1	0	1	1_1_1_1	202_1_1_1_1	-	202
217	shh_13.0_03_86_FX	FVB	13.0	86	FX	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	y	97
218	shh_13.0_04_87_FX	FVB	13.0	87	FX	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	-	97
219	shh_13.0_05_91_FX	FVB	13.0	91	FX	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	-	97
220	shh_13.0_06_102_FX	FVB	13.0	102	FX	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	-	97
221	shh_13.0_07_108_FX	FVB	13.0	108	FX	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	-	97
222	shh_13.5_14_112_FV	FVB	13.5	112	FV	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	y	123
223	shh_13.5_15_132_FV	FVB	13.5	132	FV	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	-	97
224	shh_13.5_17_137_FV	FVB	13.5	137	FV	0	0	0	0	0	1	0_0_0_1	162_0_0_0_1	-	162
225	shh_13.5_20_127_FV	FVB	13.5	127	FV	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	-	97
226	shh_14.5_28_184_FQ	FVB	14.5	184	FQ	0	1	0	1	0	1	0_1_1_1	199_0_1_1_1	y	199
227	shh_14.5_29_185_FQ	FVB	14.5	185	FQ	0	1	0	1	0	1	0_1_1_1	199_0_1_1_1	-	199
228	shh_14.5_30_189_FQ	FVB	14.5	189	FQ	0	1	0	1	0	1	0_1_1_1	199_0_1_1_1	-	199
229	shh_14.5_31_203_FZ	FVB	14.5	203	FZ	0	1	0	1	0	1	0_1_1_1	199_0_1_1_1	-	199
230	shh_14.5_32_207_FZ	FVB	14.5	207	FZ	0	1	0	1	0	1	0_1_1_1	199_0_1_1_1	y	199
231	shh_14.5_33_208_FZ	FVB	14.5	208	FZ	0	1	0	1	0	1	0_1_1_1	199_0_1_1_1	-	199
232	shh_14.5_34_209_FZ	FVB	14.5	209	FZ	0	2	0	2	0	1	0_2_2_1	325_0_2_2_1	-	325
233	shh_14.5_36_214_FZ	FVB	14.5	214	FZ	0	2	0	2	0	1	0_2_2_1	325_0_2_2_1	-	325
234	shh_14.5_37_226_FQ	FVB	14.5	226	FQ	0	2	0	2	0	1	0_2_2_1	325_0_2_2_1	y	325
235	shh_13.5_21_136_FU	FVB	13.5	136	FU	0	0	0	0	0	1	0_0_0_1	162_0_0_0_1	-	162
236	Shh_14.0_210-218	CD1	14.0	214	C	0	1	0	1	0	1	0_1_1_1	199_0_1_1_1	-	199
237	Shh_14.0_219-225	CD1	14.0	222	C	0	2	0	1	0	1	0_2_1_1	227_0_2_1_1	-	227
238	Shh_14.0_219-225_2	CD1	14.0	222.5	C	0	2	0	1	0	1	0_2_1_1	227_0_2_1_1	-	227
239	Shh_14.0_230_1	CD1	14.0	230	C	1	1	0	1	0	1	1_1_1_1	202_1_1_1_1	-	202
240	Shh_14.0_230_2	CD1	14.0	230	C	1	1	0	1	0	1	1_1_1_1	202_1_1_1_1	-	202
241	Shh_14.0_230_3	CD1	14.0	230	C	0	2	0	1	0	1	0_2_1_1	227_0_2_1_1	-	227
242	Shh_14.0_201-205_1	CD1	14.0	203	C	1	1	0	1	1	1	1_1_1_1	202_1_1_1_1	-	202
243	Shh_14.0_201-205_2	CD1	14.0	203	C	0	1	0	1	1	1	0_1_1_1	199_0_1_1_1	-	199
244	Shh_14.0_201-205_3	CD1	14.0	203	C	1	1	0	1	1	1	1_1_1_1	202_1_1_1_1	-	202
245	Shh_14.0_201-205_4	CD1	14.0	203	C	1	1	0	1	1	1	1_1_1_1	202_1_1_1_1	-	202
246	Shh_14.0_243	CD1	14.0	243	C	0	2	0	2	0	1	0_2_2_1	325_0_2_2_1	-	325
247	Shh_14.5_266_1	CD1	14.5	266	C	0	2	0	2	0	1	0_2_2_1	325_0_2_2_1	-	325
248	Shh_14.5_266_2	CD1	14.5	266	C	0	2	0	2	0	1	0_2_2_1	325_0_2_2_1	-	325
